"Refid","Bibliography","DOILink","AlternativeLink","PDFAvailable"
45,"C. X. He, W. B. Li, A. J. Ayres, J. S. Hartung, V. S. Miranda and D. C. Teixeira. ""Distribution of Xylella fastidiosa in citrus rootstocks and transmission of citrus variegated chlorosis between sweet orange plants through natural root grafts"". Plant Disease 84 (2000): 622-626","http://dx.doi.org/10.1094/pdis.2000.84.6.622","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2000.84.6.622","y"
47,"B. L. Hill and A. H. Purcell. ""Populations of Xylella fastidiosa in plants required for transmission by an efficient vector"". Phytopathology 87 (1997): 1197-1201","http://dx.doi.org/10.1094/phyto.1997.87.12.1197","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO.1997.87.12.1197","y"
54,"Q. Huang. ""First report of Xylella fastidiosa associated with leaf scorch in black oak in Washington, DC"". Plant Disease 88 (2004): 224-224","http://dx.doi.org/10.1094/pdis.2004.88.2.224c","","n"
55,"Q. Huang, R. H. Brlansky, L. Barnes, W. Li and J. S. Hartung. ""First report of oleander leaf scorch caused by Xylella fastidiosa in Texas"". Plant Disease 88 (2004): 1049-1049","http://dx.doi.org/10.1094/pdis.2004.88.9.1049a","","n"
64,"R. Krugner, C. A. Ledbetter, J. Chen and A. Shrestha. ""Phenology of Xylella fastidiosa and Its Vector Around California Almond Nurseries: An Assessment of Plant Vulnerability to Almond Leaf Scorch Disease"". Plant Disease 96 (2012): 1488-1494","http://dx.doi.org/10.1094/pdis-01-12-0017-re","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS-01-12-0017-RE","y"
69,"W. B. Li, W. D. Pria, C. Teixeira, V. S. Miranda, A. J. Ayres, C. F. Franco, M. G. Costa, C. X. He, P. I. Costa and J. S. Hartung. ""Coffee leaf scorch caused by a strain of Xylella fastidiosa from citrus"". Plant Disease 85 (2001): 501-505","http://dx.doi.org/10.1094/pdis.2001.85.5.501","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2001.85.5.501","y"
70,"W. B. Li, C. H. Zhou, W. D. Pria, D. C. Teixeira, V. S. Miranda, E. O. Pereira, A. J. Ayres and J. S. Hartung. ""Citrus and coffee strains of Xylella fastidiosa induce Pierce's disease in grapevine"". Plant Disease 86 (2002): 1206-1210","http://dx.doi.org/10.1094/pdis.2002.86.11.1206","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2002.86.11.1206","y"
74,"S. A. Lopes, S. Marcussi, S. C. Z. Torres, V. Souza, C. Fagan, S. C. Franca, N. G. Fernandes and J. R. S. Lopes. ""Weeds as alternative hosts of the citrus, coffee, and plum strains of Xylella fastidiosa in Brazil"". Plant Disease 87 (2003): 544-549","http://dx.doi.org/10.1094/pdis.2003.87.5.544","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2003.87.5.544","y"
75,"S. A. Lopes, D. M. Ribeiro, P. G. Roberto, S. C. Franca and J. M. Santos. ""Nicotiana tabacum as an experimental host for the study of plant-Xylella fastidiosa interactions"". Plant Disease 84 (2000): 827-830","http://dx.doi.org/10.1094/Pdis.2000.84.8.827","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2000.84.8.827","y"
80,"A. J. McElrone, S. Jackson and P. Habdas. ""Hydraulic disruption and passive migration by a bacterial pathogen in oak tree xylem"". Journal of Experimental Botany 59 (2008): 2649-2657","http://dx.doi.org/10.1093/jxb/ern124","https://watermark.silverchair.com/ern124.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAcswggHHBgkqhkiG9w0BBwagggG4MIIBtAIBADCCAa0GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMrusTg8IFOvmOhMZfAgEQgIIBfgv9RR1JioVCnZ1Dc8I8c5u9wCORKG-hbeIi3dZEvJ67Qya9Z-x3-OOpK-UPe5q8ngUk14wxjVZfjy1mVUfvCBIvKZkamEJX6FEQsXEHPDroZxoB0nlr-uA0ce_nE-NMkoatE9sVF9IzfQkZhGD2oGR59SabocMSyXngGPxDS1jutDwXvs3ve1_zCO3uwI_vXe-UZ25MMQGh0idAV-y53VBb8tl7kwovmR1xunM0_kDaTly8CsnpXJpePgHOZJtXZivFS1uaQ-yGcxRG-yxZkgp5CfudDCKkrllvWn_kOF2CsjkPVa4sSmUdwiAJUqfGG4Ramuk551GcNv-cd2FMJf70jd55heUwwM8VHJYH3FSsNCeyNXiQ9ezW2yB2UJ7iMEBx4R412NYu8cbHIQpv2LHPgkQSNMtXVDai9NGfSoeK2GIjpDaikd0E8rU7-crbiNdBswCHojvi_Xn-6yLUZBhMEqxxW63ZaxdAL4jzN5OhS06UMeTNtpHfPVXNrxQ","y"
81,"A. J. McElrone, J. L. Sherald and I. N. Forseth. ""Effects of water stress on symptomatology and growth of Parthenocissus quinquefolia infected by Xylella fastidiosa"". Plant Disease 85 (2001): 1160-1164","http://dx.doi.org/10.1094/pdis.2001.85.11.1160","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2001.85.11.1160","y"
86,"R. A. Melanson, R. S. Sanderlin, A. R. McTaggart and J. H. Ham. ""A Systematic Study Reveals that Xylella fastidiosa Strains from Pecan Are Part of X. fastidiosa subsp multiplex"". Plant Disease 96 (2012): 1123-1134","http://dx.doi.org/10.1094/pdis-09-11-0730-re","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS-09-11-0730-RE","y"
89,"P. B. Monteiro, J. Renaudin, S. Jagoueix-Eveillard, A. J. Ayres, M. Garnier and J. M. Bove. ""Catharanthus roseus, an experimental host plant for the citrus strain of Xylella fastidiosa"". Plant Disease 85 (2001): 246-251","http://dx.doi.org/10.1094/pdis.2001.85.3.246","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2001.85.3.246","y"
92,"M. Montero-Astua, G. Saborio, C. Chacon-Diaz, W. Villalobos, C. M. Rodriguez, L. Moreira and C. Rivera. ""First report of Xylella fastidiosa in Nerium oleander in Costa Rica"". Plant Disease 92 (2008): 1249-1249","http://dx.doi.org/10.1094/pdis-92-8-1249a","","n"
93,"M. Montero-Astua, G. Saborio-R, C. Chacon-Diaz, L. Garita, W. Villalobos, J. S. Hartung and C. Rivera. ""First report of Xylella fastidiosa in avocado in Costa Rica"". Plant Disease 92 (2008): 175-175","http://dx.doi.org/10.1094/pdis-92-1-0175c","","n"
94,"A. L. Myers, T. B. Sutton, J. A. Abad and G. G. Kennedy. ""Pierce's disease of grapevines: Identification of the primary vectors in North Carolina"". Phytopathology 97 (2007): 1440-1450","http://dx.doi.org/10.1094/phyto-97-11-1440","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-97-11-1440","y"
96,"K. L. Newman, R. P. P. Almeida, A. H. Purcell and S. E. Lindow. ""Cell-cell signaling controls Xylella fastidiosa interactions with both insects and plants"". Proceedings of the National Academy of Sciences of the United States of America 101 (2004): 1737-1742","http://dx.doi.org/10.1073/pnas.0308399100","http://www.pnas.org/content/pnas/101/6/1737.full.pdf","y"
100,"L. Nunney, X. Yuan, R. Bromley, J. Hartung, M. Montero-Astua, L. Moreira, B. Ortiz and R. Stouthamer. ""Population Genomic Analysis of a Bacterial Plant Pathogen: Novel Insight into the Origin of Pierce's Disease of Grapevine in the US"". PLoS ONE 5 (2010): #pages#","http://dx.doi.org/10.1371/journal.pone.0015488","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0015488&type=printable","y"
107,"S. d. S. Prado, J. R. S. Lopes, C. G. B. Demetrio, A. F. Borgatto and R. P. P. d. Almeida. ""Host colonization differences between citrus and coffee isolates of Xylella fastidiosa in reciprocal inoculation"". Scientia Agricola 65 (2008): 251-258","http://dx.doi.org/10.1590/s0103-90162008000300005","http://www.scielo.br/pdf/sa/v65n3/a05v65n3.pdf","y"
108,"A. H. Purcell and S. R. Saunders. ""Fate of Pierce's disease strains of Xylella fastidiosa in common riparian plants in California"". Plant Disease 83 (1999): 825-830","http://dx.doi.org/10.1094/pdis.1999.83.9.825","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.1999.83.9.825","y"
109,"A. H. Purcell, S. R. Saunders, M. Hendson, M. E. Grebus and M. J. Henry. ""Causal role of Xylella fastidiosa in oleander leaf scorch disease"". Phytopathology 89 (1999): 53-58","http://dx.doi.org/10.1094/phyto.1999.89.1.53","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO.1999.89.1.53","y"
114,"J. J. Randall, M. Radionenko, J. M. French, M. W. Olsen, N. P. Goldberg and S. F. Hanson. ""Xylella fastidiosa detected in New Mexico in chitalpa, a common landscape ornamental plant"". Plant Disease 91 (2007): 329-329","http://dx.doi.org/10.1094/pdis-91-3-0329b","","n"
118,"E. L. Schuenzel, M. Scally, R. Stouthamer and L. Nunney. ""A multigene phylogenetic study of clonal diversity and divergence in North American strains of the plant pathogen Xylella fastidiosa"". Applied and Environmental Microbiology 71 (2005): 3832-3839","http://dx.doi.org/10.1128/aem.71.7.3832-3839.2005","http://aem.asm.org/content/71/7/3832.full.pdf","y"
124,"D. L. Smith, J. Dominiak-Olson and C. D. Sharber. ""First Report of Pierce's Disease of Grape Caused by Xylella fastidiosa in Oklahoma"". Plant Disease 93 (2009): 762-762","http://dx.doi.org/10.1094/pdis-93-7-0762b","","n"
135,"X. Yuan, L. Morano, R. Bromley, S. Spring-Pearson, R. Stouthamer and L. Nunney. ""Multilocus Sequence Typing of Xylella fastidiosa Causing Pierce's Disease and Oleander Leaf Scorch in the United States"". Phytopathology 100 (2010): 601-611","http://dx.doi.org/10.1094/phyto-100-6-0601","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-100-6-0601","y"
179,"R. Hernandez-Martinez, H. S. Costa, C. K. Dumenyo and D. A. Cooksey. ""Differentiation of strains of Xylella fastidiosa infecting grape, almonds, and oleander using a multiprimer PCR assay"". Plant Disease 90 (2006): 1382-1388","http://dx.doi.org/10.1094/pd-90-1382","https://apsjournals.apsnet.org/doi/pdf/10.1094/PD-90-1382","y"
180,"R. Hernandez-Martinez, K. A. de la Cerda, H. S. Costa, D. A. Cooksey and F. P. Wong. ""Phylogenetic relationships of Xylella fastidiosa strains isolated from landscape ornamentals in southern California"". Phytopathology 97 (2007): 857-864","http://dx.doi.org/10.1094/phyto-97-7-0857","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-97-7-0857","y"
190,"M. Montero-Astua, J. S. Hartung, E. Aguilar, C. Chacon, W. Li, F. J. Albertazzi and C. Rivera. ""Genetic diversity of Xylella fastidiosa strains from Costa Rica, Sao Paulo, Brazil, and United States"". Phytopathology 97 (2007): 1338-1347","http://dx.doi.org/10.1094/phyto-97-10-1338","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-97-10-1338","y"
195,"E. B. Shapland, K. M. Daane, G. Y. Yokota, C. Wistrom, J. H. Connell, R. A. Duncan and M. A. Viveros. ""Ground vegetation survey for Xylella fastidiosa in California almond orchards"". Plant Disease 90 (2006): 905-909","http://dx.doi.org/10.1094/pd-90-0905","https://apsjournals.apsnet.org/doi/pdf/10.1094/PD-90-0905","y"
201,"R. L. Wichman and D. L. Hopkins. ""Differentiation of pathogenic groups of Xylella fastidiosa strains with whole-cell protein profiles"". Plant Disease 86 (2002): 875-879","http://dx.doi.org/10.1094/pdis.2002.86.8.875","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2002.86.8.875","y"
203,"M. Hendson, A. H. Purcell, D. Chen, C. Smart, M. Guilhabert and B. Kirkpatrick. ""Genetic diversity of Pierce's disease strains and other pathotypes of Xylella fastidiosa"". Applied and Environmental Microbiology 67 (2001): 895-903","http://dx.doi.org/10.1128/aem.67.2.895-903.2001","http://aem.asm.org/content/67/2/895.full.pdf","y"
204,"N. W. Schaad, E. Postnikova, G. Lacy, M. B. Fatmi and C.-J. Chang. ""Xylella fastidiosa subspecies: X. fastidiosa subsp piercei, subsp. nov., X. fastidiosa subsp. multiplex subsp. nov., and X. fastidiosa subsp. pauca subsp. nov"". Systematic and applied microbiology 27 (2004): 290-300","http://dx.doi.org/10.1078/0723-2020-00263","https://ac.els-cdn.com/S0723202004702647/1-s2.0-S0723202004702647-main.pdf?_tid=87579ca8-0b46-11e8-9c63-00000aacb35f&acdnat=1517925998_fbc730d620a2b1958303e493587a8bef","y"
245,"C. Baccari, N. Killiny, M. Ionescu, R. P. P. Almeida and S. E. Lindow. ""Diffusible Signal Factor-Repressed Extracellular Traits Enable Attachment of Xylella fastidiosa to Insect Vectors and Transmission"". Phytopathology 104 (2014): 27-33","http://dx.doi.org/10.1094/phyto-06-13-0151-r","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-06-13-0151-R","y"
253,"M. Bergsma-Vlami, J. L. J. van de Bilt, N. N. A. Tjou-Tam-Sin, B. T. L. H. van de Vossenberg and M. Westenberg. ""XYLELLA FASTIDIOSA IN COFFEA ARABICA ORNAMENTAL PLANTS IMPORTED FROM COSTA RICA AND HONDURAS IN THE NETHERLANDS"". Journal of Plant Pathology 97 (2015): 395-395"," ","http://www.sipav.org/main/jpp/index.php/jpp/article/download/3336/2007","y"
275,"J. Chen, H. Huang, C.-J. Chang and D. C. Stenger. ""Draft Genome Sequence of Xylella fastidiosa subsp. multiplex Strain Griffin-1 from Quercus rubra in Georgia"". Genome announcements 1 (2013): #pages#","http://dx.doi.org/10.1128/genomea.00756-13","http://genomea.asm.org/content/1/5/e00756-13.full.pdf","y"
277,"H.-K. Choi, A. Iandolino, F. G. da Silva and D. R. Cook. ""Water Deficit Modulates the Response of Vitis vinifera to the Pierce's Disease Pathogen Xylella fastidiosa"". Molecular Plant-Microbe Interactions 26 (2013): 643-657","http://dx.doi.org/10.1094/mpmi-09-12-0217-r","https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-09-12-0217-R","y"
282,"H. D. Coletta-Filho, C. S. Francisco and R. P. P. Almeida. ""Temporal and Spatial Scaling of the Genetic Structure of a Vector-Borne Plant Pathogen"". Phytopathology 104 (2014): 120-125","http://dx.doi.org/10.1094/phyto-06-13-0154-r","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-06-13-0154-R","y"
291,"L. Cursino, D. Athinuwat, K. R. Patel, C. D. Galvani, P. A. Zaini, Y. Li, L. De la Fuente, H. C. Hoch, T. J. Burr and P. Mowery. ""Characterization of the Xylella fastidiosa PD1671 Gene Encoding Degenerate c-di-GMP GGDEF/EAL Domains, and Its Role in the Development of Pierce's Disease"". Plos One 10 (2015): #pages#","http://dx.doi.org/10.1371/journal.pone.0121851","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0121851&type=printable","y"
294,"M. Das, T. S. Bhowmick, S. J. Ahern, R. Young and C. F. Gonzalez. ""Control of Pierce's Disease by Phage"". Plos One 10 (2015): #pages#","http://dx.doi.org/10.1371/journal.pone.0128902","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0128902&type=printable","y"
298,"L. De La Fuente, J. K. Parker, J. E. Oliver, S. Granger, P. M. Brannen, E. van Santen and P. A. Cobine. ""The Bacterial Pathogen Xylella fastidiosa Affects the Leaf Ionome of Plant Hosts during Infection"". Plos One 8 (2013): #pages#","http://dx.doi.org/10.1371/journal.pone.0062945","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0062945&type=printable","y"
323,"A. Giampetruzzi, M. Chiumenti, M. Saponari, G. Donvito, A. Italiano, G. Loconsole, D. Boscia, C. Cariddi, G. P. Martelli and P. Saldarelli. ""Draft genome sequence of the Xylella fastidiosa CoDiRO strain"". Genome Announcements 3 (2015): e01538-14","http://dx.doi.org/10.1128/genomea.01538-14","http://genomea.asm.org/content/3/1/e01538-14.full.pdf","y"
331,"W. Guan, J. Shao, R. E. Davis, T. Zhao and Q. Huang. ""Genome sequence of a Xylella fastidiosa strain causing sycamore leaf scorch disease in Virginia"". Genome Announcements 2 (2014): e00773-14","http://dx.doi.org/10.1128/genomea.00773-14","http://genomea.asm.org/content/2/4/e00773-14.full.pdf","y"
332,"W. Guan, J. Shao, T. Elbeaino, R. E. Davis, T. Zhao and Q. Huang. ""Specific Detection and Identification of American Mulberry-Infecting and Italian Olive-Associated Strains of Xylella fastidiosa by Polymerase Chain Reaction"". Plos One 10 (2015): #pages#","http://dx.doi.org/10.1371/journal.pone.0129330","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0129330&type=printable","y"
334,"W. Guan, J. Shao, T. Zhao and Q. Huang. ""Genome sequence of a Xylella fastidiosa strain causing mulberry leaf scorch disease in Maryland"". Genome Announcements 2 (2014): e00916-13","http://dx.doi.org/10.1128/genomea.00916-13","http://genomea.asm.org/content/2/2/e00916-13.full.pdf","y"
337,"R. M. Haelterman, P. A. Tolocka, M. E. Roca, F. A. Guzman, F. D. Fernandez and M. L. Otero. ""FIRST PRESUMPTIVE DIAGNOSIS OF XYLELLA FASTIDIOSA CAUSING OLIVE SCORCH IN ARGENTINA"". Journal of Plant Pathology 97 (2015): 393-393","http://dx.doi.org/10.4454/JPP.V97I2.023","http://www.sipav.org/main/jpp/index.php/jpp/article/download/3327/1998","y"
342,"S. J. Harper, L. I. Ward and G. R. G. Clover. ""Development of LAMP and Real-Time PCR Methods for the Rapid Detection of Xylella fastidiosa for Quarantine and Field Applications (vol 100, pg 1282, 2010)"". Phytopathology 103 (2013): 762-762","https://doi.org/10.1094/PHYTO-06-10-0168","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-06-10-0168","y"
343,"J. L. Harris and Y. Balci. ""Population Structure of the Bacterial Pathogen Xylella fastidiosa among Street Trees in Washington DC"". Plos One 10 (2015): #pages#","http://dx.doi.org/10.1371/journal.pone.0121297","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0121297&type=printable","y"
356,"M. Ionescu, P. A. Zaini, C. Baccari, S. Tran, A. M. da Silva and S. E. Lindow. ""Xylella fastidiosa outer membrane vesicles modulate plant colonization by blocking attachment to surfaces"". Proceedings of the National Academy of Sciences of the United States of America 111 (2014): E3910-E3918","http://dx.doi.org/10.1073/pnas.1414944111","http://www.pnas.org/content/pnas/111/37/E3910.full.pdf","y"
375,"R. Krugner, M. S. Sisterson, J. Chen, D. C. Stenger and M. W. Johnson. ""Evaluation of Olive as a Host of Xylella fastidiosa and Associated Sharpshooter Vectors"". Plant Disease 98 (2014): 1186-1193","http://dx.doi.org/10.1094/pdis-01-14-0014-re","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS-01-14-0014-RE","y"
389,"H. Lin, M. S. Islam, J. C. Cabrera-La Rosa, E. L. Civerolo and R. L. Groves. ""Population Structure of Xylella fastidiosa Associated with Almond Leaf Scorch Disease in the San Joaquin Valley of California"". Phytopathology 105 (2015): 825-832","http://dx.doi.org/10.1094/phyto-09-14-0254-r","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-09-14-0254-R","y"
391,"S. Lindow, K. Newman, S. Chatterjee, C. Baccari, A. T. Lavarone and M. Ionescu. ""Production of Xylella fastidiosa Diffusible Signal Factor in Transgenic Grape Causes Pathogen Confusion and Reduction in Severity of Pierce's Disease"". Molecular Plant-Microbe Interactions 27 (2014): 244-254","http://dx.doi.org/10.1094/mpmi-07-13-0197-fi","https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-07-13-0197-FI","y"
401,"L. S. Muranaka, T. E. Giorgiano, M. A. Takita, M. R. Forim, L. F. C. Silva, H. D. Coletta-Filho, M. A. Machado and A. A. de Souza. ""N-Acetylcysteine in Agriculture, a Novel Use for an Old Molecule: Focus on Controlling the Plant-Pathogen Xylella fastidiosa"". Plos One 8 (2013): #pages#","http://dx.doi.org/10.1371/journal.pone.0072937","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0072937&type=printable","y"
456,"J. E. Oliver, P. A. Cobine and L. De La Fuente. ""Xylella fastidiosa Isolates from Both subsp multiplex and fastidiosa Cause Disease on Southern Highbush Blueberry (Vaccinium sp.) Under Greenhouse Conditions"". Phytopathology 105 (2015): 855-862","http://dx.doi.org/10.1094/phyto-11-14-0322-fi","https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-11-14-0322-FI","y"
457,"J. E. Oliver, S. A. Sefick, J. K. Parker, T. Arnold, P. A. Cobine and L. De la Fuente. ""Ionome Changes in Xylella fastidiosa-Infected Nicotiana tabacum Correlate With Virulence and Discriminate Between Subspecies of Bacterial Isolates"". Molecular Plant-Microbe Interactions 27 (2014): 1048-1058","http://dx.doi.org/10.1094/mpmi-05-14-0151-r","https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-05-14-0151-R","y"
458,"P. Ouyang, M. Arif, J. Fletcher, U. Melcher and F. M. Ochoa Corona. ""Enhanced reliability and accuracy for field deployable bioforensic detection and discrimination of Xylella fastidiosa subsp. pauca, causal agent of citrus variegated chlorosis using razor ex technology and TaqMan quantitative PCR"". PloS one 8 (2013): e81647-e81647","http://dx.doi.org/10.1371/journal.pone.0081647","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0081647&type=printable","y"
478,"A. Rashed, J. Kwan, B. Baraff, D. Ling, M. P. Daugherty, N. Killiny and R. P. P. Almeida. ""Relative Susceptibility of Vitis vinifera Cultivars to Vector-Borne Xylella fastidiosa through Time"". Plos One 8 (2013): #pages#","http://dx.doi.org/10.1371/journal.pone.0055326","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0055326&type=printable","y"
485,"C. M. Rodrigues, A. A. de Souza, M. A. Takita, L. T. Kishi and M. A. Machado. ""RNA-Seq analysis of Citrus reticulata in the early stages of Xylella fastidiosa infection reveals auxin-related genes as a defense response"". Bmc Genomics 14 (2013): #pages#","http://dx.doi.org/10.1186/1471-2164-14-676","https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/1471-2164-14-676?site=bmcgenomics.biomedcentral.com","y"
549,"S. Zhang, P. K. Chakrabarty, L. A. Fleites, P. A. Rayside, D. L. Hopkins and D. W. Gabriel. ""Three New Pierce's Disease Pathogenicity Effectors Identified Using Xylella fastidiosa Biocontrol Strain EB92-1"". Plos One 10 (2015): #pages#","http://dx.doi.org/10.1371/journal.pone.0133796","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0133796&type=printable","y"
