"Refid","Bibliography","DOI.link","Alternative.Link"
684,"J. Herkovits and C. S. Perez-Coll. \Acclimation to low level exposure of copper in Bufo arenarum embryos: linkage of effects to tissue residues\"". International Journal of Environmental Research and Public Health 4 (2007): 166-72""","http://dx.doi.org/10.3390/ijerph2007040012","http://www.mdpi.com/1660-4601/4/2/166/pdf"
731,"B. A. Comstock, S. L. Sprinkle and G. R. Smith. \Actue toxic effects of round-up herbicide on wood frog tadpoles (Rana sylvatica)\"". Journal of Freshwater Ecology 22 (2007): 705-708""","http://dx.doi.org/10.1080/02705060.2007.9664831","http://www.tandfonline.com/doi/abs/10.1080/02705060.2007.9664831?needAccess=true#aHR0cDovL3d3dy50YW5kZm9ubGluZS5jb20vZG9pL3BkZi8xMC4xMDgwLzAyNzA1MDYwLjIwMDcuOTY2NDgzMT9uZWVkQWNjZXNzPXRydWVAQEAw"
1154,"R. R. Troyer and A. M. Turner. \Chemosensory Perception of Predators by Larval Amphibians Depends on Water Quality\"". Plos One 10 (2015): #pages#""","http://dx.doi.org/10.1371/journal.pone.0131516","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0131516&type=printable"
1194,"M. R. Lambert. \Clover root exudate produces male-biased sex ratios and accelerates male metamorphic timing in wood frogs\"". Royal Society open science 2 (2015): #pages#""","http://dx.doi.org/10.1098/rsos.150433","http://rsos.royalsocietypublishing.org/content/2/12/150433.full.pdf"
1325,"J. Hua, R. Cothran, A. Stoler and R. Relyea. \Cross-tolerance in amphibians: Wood frog mortality when exposed to three insecticides with a common mode of action\"". Environmental Toxicology and Chemistry 32 (2013): 932-936""","http://dx.doi.org/10.1002/etc.2121","http://onlinelibrary.wiley.com/doi/10.1002/etc.2121/epdf"
1373,"T. V. McDaniel, M. L. Harris, C. A. Bishop and J. Struger. \Development and survivorship of northern leopard frogs (Rana pipiens) and green frogs (Rana clamitans) exposed to contaminants in the water and sediments of the St. Lawrence River near Cornwall, Ontario\"". Water Quality Research Journal of Canada 39 (2004): 160-174""","","https://www.cawq.ca/cgi-bin/journal/pdf_view.cgi?language=english&article=12"
1381,"I. Lutz, W. Kloas, T. A. Springer, L. R. Holden, J. C. Wolf, H. O. Krueger and A. J. Hosmer. \Development, standardization and refinement of procedures for evaluating effects of endocrine active compounds on development and sexual differentiation of Xenopus laevis\"". Analytical and Bioanalytical Chemistry 390 (2008): 2031-2048""","http://dx.doi.org/10.1007/s00216-008-1973-4","https://link.springer.com/content/pdf/10.1007%2Fs00216-008-1973-4.pdf"
1429,"R. P. Piprek, A. Pecio, J. Z. Kubiak and J. M. Szymura. \Differential effects of testosterone and 17 beta-estradiol on gonadal development in five anuran species\"". Reproduction 144 (2012): 257-267""","http://dx.doi.org/10.1530/rep-12-0048","http://www.reproduction-online.org/content/144/2/257.full.pdf"
1448,"M. Safholm, A. Norder, J. Fick and C. Berg. \Disrupted Oogenesis in the Frog Xenopus tropicalis after Exposure to Environmental Progestin Concentrations\"". Biology of Reproduction 86 (2012): #pages#""","http://dx.doi.org/10.1095/biolreprod.111.097378","https://academic.oup.com/biolreprod/article-pdf/86/4/126,%201-7/10581319/biolreprod0126.pdf"
1467,"P. Bonfanti, E. Moschini, M. Saibene, R. Bacchetta, L. Rettighieri, L. Calabri, A. Colombo and P. Mantecca. \Do Nanoparticle Physico-Chemical Properties and Developmental Exposure Window Influence Nano ZnO Embryotoxicity in Xenopus laevis?\"". International Journal of Environmental Research and Public Health 12 (2015): 8828-8848""","http://dx.doi.org/10.3390/ijerph120808828","http://www.mdpi.com/1660-4601/12/8/8828/pdf"
1488,"J. R. Rohr, T. R. Raffel, N. T. Halstead, T. A. McMahon, S. A. Johnson, R. K. Boughton and L. B. Martin. \Early-life exposure to a herbicide has enduring effects on pathogen-induced mortality\"". Proceedings of the Royal Society B-Biological Sciences 280 (2013): #pages#""","http://dx.doi.org/10.1098/rspb.2013.1502","http://rspb.royalsocietypublishing.org/content/280/1772/20131502.full.pdf"
1525,"E. M. Muñoz-Escobar and J. A. Palacio-Baena. \EFECTOS DEL CLORURO DE MERCURIO (HgCl2) SOBRE LA SOBREVIVENCIA Y CRECIMIENTO DE RENACUAJOS DE DENDROSOPHUS BOGERTI TADPOLES OF DENDROSPHUS BOGERTI\"". Actualidades Biológicas 32 (2010): 189-197""","","https://aprendeenlinea.udea.edu.co/revistas/index.php/actbio/article/download/13814/12258"
1649,"D. J. Fort, P. D. Guiney, J. A. Weeks, J. H. Thomas, R. L. Rogers, A. M. Noll and C. D. Spaulding. \Effect of methoxychlor on various life stages of Xenopus laevis\"". Toxicological Sciences 81 (2004): 454-466""","http://dx.doi.org/10.1093/toxsci/kfh243","https://academic.oup.com/toxsci/article-pdf/81/2/454/4661898/kfh243.pdf"
1653,"A. Birhanli, F. B. Emre, F. Sayilkan and A. Gungordu. \Effect of nanosized TiO2 particles on the development of Xenopus laevis embryos\"". Turkish Journal of Biology 38 (2014): 283-288""","http://dx.doi.org/10.3906/biy-1307-37","http://dergipark.gov.tr/download/article-file/120944"
1689,"E. Schadich, A. L. J. Cole, D. Mason and M. Squire. \Effect of the pesticide carbaryl on the production of the skin peptides of Litoria raniformis frogs\"". Australasian Journal of Ecotoxicology 15 (2009): 17-24""","","http://www.ecotox.org.au/aje/archives/vol15p17.pdf"
1710,"A. Collier, L. Orr, J. Morris and J. Blank. \The effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) on the mortality and growth of two amphibian species (Xenopus laevis and Pseudacris triseriata)\"". International Journal of Environmental Research and Public Health 5 (2008): 368-77""","http://dx.doi.org/10.3390/ijerph5050368","http://www.mdpi.com/1660-4601/5/5/368/pdf"
1783,"M. Hecker, J. W. Park, M. B. Murphy, P. D. Jones, K. R. Solomon, G. Van Der Kraak, J. A. Carr, E. E. Smith, L. du Preez, R. J. Kendall and J. P. Giesy. \Effects of atrazine on CYP19 gene expression and aromatase activity in testes and on plasma sex steroid concentrations of male African clawed frogs (Xenopus laevis)\"". Toxicological Sciences 86 (2005): 273-280""","http://dx.doi.org/10.1093/toxsci/kfi203","https://academic.oup.com/toxsci/article-pdf/86/2/273/4656200/kfi203.pdf"
2438,"M. Durando, G. Canesini, L. L. Cocito, G. H. Galoppo, M. A. Zayas, E. H. Luque and M. Munoz-de-Toro. \Histomorphological changes in testes of broad-snouted caimans (Caiman latirostris) associated with in ovo exposure to endocrine-disrupting chemicals\"". Journal of Experimental Zoology Part a-Ecological Genetics and Physiology 325 (2016): 84-96""","http://dx.doi.org/10.1002/jez.1999","http://onlinelibrary.wiley.com/doi/10.1002/jez.1999/epdf"
