topic,Refid,Bibliography,sampPoint,nSample,sampCountry,sampArea,sampY,targetSpecies,sampledMatrix,agent,anMeth,nPositive,common_name,strain,infectionMethod,chem,route,endpoint,dose
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,110 host (animal or human),Kenya,Tana,2009,Human,Blood serum,Crimean-Congo haemorrhagic fever virus,IgG ELISA,29,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,152 host (animal or human),Kenya,Naivasha,2009,Human,Blood serum,West Nile virus,IgG ELISA,4,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,117 host (animal or human),Kenya,Baringo,2009,Human,Blood serum,Crimean-Congo haemorrhagic fever virus,IgG ELISA,41,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,152 host (animal or human),Kenya,Naivasha,2009,Human,Blood serum,Crimean-Congo haemorrhagic fever virus,IgG ELISA,27,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,117 host (animal or human),Kenya,Baringo,2009,Human,Blood serum,Rift Valley fever virus,IgG ELISA,25,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,152 host (animal or human),Kenya,Naivasha,2009,Human,Blood serum,Rift Valley fever virus,IgG ELISA,21,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,110 host (animal or human),Kenya,Tana,2009,Human,Blood serum,West Nile virus,IgG ELISA,37,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,110 host (animal or human),Kenya,Tana,2009,Human,Blood serum,Rift Valley fever virus,IgG ELISA,28,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,20 host (animal or human),Kenya,Masalani  (Tana River County),2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,42 host (animal or human),Kenya,Garissa,2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,135 host (animal or human),Kenya,Narok-Maasai Mara,2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,27 host (animal or human),Kenya,Tsavo,2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,21 host (animal or human),Kenya,Shanta Abaq (Wajir County),2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,5 host (animal or human),Kenya,Garissa,2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,29 host (animal or human),Kenya,Naivasha,2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,68,"O. W. Lwande, G. O. Paul, P. I. Chiyo, E. Ng'ang'a, V. Otieno, V. Obanda and M. Evander. ""Spatio-temporal variation in prevalence of Rift Valley fever: a post-epidemic serum survey in cattle and wildlife in Kenya"". Infection ecology & epidemiology 5 (2015): 30106-30106",Natural habitat,16 host (animal or human),Kenya,Laikipia,2008,,,Rift Valley fever virus,IgG ELISA,NA,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Seno,2014,Sheep,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),2,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Soum,2014,Sheep,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),8,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Seno,2014,Goat,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Seno,2014,Cattle,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),3,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Yatenga,2014,Cattle,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),9,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Oubritenga,2014,Cattle,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),6,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Oubritenga,2014,Sheep,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),4,,,,,,,
AHAW VBD,88,"H. Boussini, C. E. Lamien, O. G. Nacoulma, A. Kabore, G. Poda and G. Viljoen. ""Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 893-901",Natural habitat,40 host (animal or human),Burkina Faso,Soum,2014,Goat,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),7,,,,,,,
AHAW VBD,89,"A. M. Mohamed, A. M. Ashshi, A. H. Asghar, I. H. A. A. El-Rahim, A. G. El-Shemi and T. Zafar. ""Seroepidemiological survey on Rift Valley fever among small ruminants and their close human contacts in Makkah, Saudi Arabia, in 2011"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 903-915",Slaughterhouse,51 host (animal or human),Saudi Arabia,Makkah,2011,Sheep,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),7,,,,,,,
AHAW VBD,89,"A. M. Mohamed, A. M. Ashshi, A. H. Asghar, I. H. A. A. El-Rahim, A. G. El-Shemi and T. Zafar. ""Seroepidemiological survey on Rift Valley fever among small ruminants and their close human contacts in Makkah, Saudi Arabia, in 2011"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 903-915",Slaughterhouse,25 host (animal or human),Saudi Arabia,Jizan,2011,Sheep,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),6,,,,,,,
AHAW VBD,89,"A. M. Mohamed, A. M. Ashshi, A. H. Asghar, I. H. A. A. El-Rahim, A. G. El-Shemi and T. Zafar. ""Seroepidemiological survey on Rift Valley fever among small ruminants and their close human contacts in Makkah, Saudi Arabia, in 2011"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 903-915",Slaughterhouse,27 host (animal or human),Saudi Arabia,Makkah,2011,Goat,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
AHAW VBD,89,"A. M. Mohamed, A. M. Ashshi, A. H. Asghar, I. H. A. A. El-Rahim, A. G. El-Shemi and T. Zafar. ""Seroepidemiological survey on Rift Valley fever among small ruminants and their close human contacts in Makkah, Saudi Arabia, in 2011"". Revue Scientifique Et Technique-Office International Des Epizooties 33 (2014): 903-915",Slaughterhouse,23 host (animal or human),Saudi Arabia,Jizan,2011,Sheep,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),4,,,,,,,
AHAW VBD,90,"F. Andayi, R. N. Charrel, A. Kieffer, H. Richet, B. Pastorino, I. Leparc-Goffart, A. A. Ahmed, F. Carrat, A. Flahault and X. de Lamballerie. ""A Sero-epidemiological Study of Arboviral Fevers in Djibouti, Horn of Africa"". Plos Neglected Tropical Diseases 8 (2014): #pages#",Household,893 host (animal or human),Djibouti,Djibouti city,2010,Human,Blood serum,West Nile virus,Enzyme linked immunosorbent assay (ELISA),5,,,,,,,
AHAW VBD,90,"F. Andayi, R. N. Charrel, A. Kieffer, H. Richet, B. Pastorino, I. Leparc-Goffart, A. A. Ahmed, F. Carrat, A. Flahault and X. de Lamballerie. ""A Sero-epidemiological Study of Arboviral Fevers in Djibouti, Horn of Africa"". Plos Neglected Tropical Diseases 8 (2014): #pages#",Household,893 host (animal or human),Djibouti,Djibouti city,2010,Human,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),20,,,,,,,
AHAW VBD,100,"S. Fagbo, J. A. W. Coetzer and E. H. Venter. ""Seroprevalence of Rift Valley fever and lumpy skin disease in African buffalo (Syncerus caffer) in the Kruger National Park and Hluhluwe-iMfolozi Park, South Africa"". Journal of the South African Veterinary Association 85 (2014): #pages#",Natural habitat,248 host (animal or human),South Africa,Kruger National Park and Hluhluwe-iMfolozi Park,2003,African Buffalo,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),15,,,,,,,
AHAW VBD,119,"M. Roger, M. Beral, S. Licciardi, M. Soule, A. Faharoudine, C. Foray, M.-M. Olive, M. Maquart, A. Soulaimane, A. M. Kassim, C. Cetre-Sossah and E. Cardinale. ""Evidence for Circulation of the Rift Valley Fever Virus among Livestock in the Union of Comoros"". Plos Neglected Tropical Diseases 8 (2014): #pages#",Farm,174 host (animal or human),Comoros,Grande Comore,2011,Ruminants,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),NA,,,,,,,
AHAW VBD,119,"M. Roger, M. Beral, S. Licciardi, M. Soule, A. Faharoudine, C. Foray, M.-M. Olive, M. Maquart, A. Soulaimane, A. M. Kassim, C. Cetre-Sossah and E. Cardinale. ""Evidence for Circulation of the Rift Valley Fever Virus among Livestock in the Union of Comoros"". Plos Neglected Tropical Diseases 8 (2014): #pages#",Farm,53 host (animal or human),Comoros,Anjouan,2011,Ruminants,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),NA,,,,,,,
AHAW VBD,119,"M. Roger, M. Beral, S. Licciardi, M. Soule, A. Faharoudine, C. Foray, M.-M. Olive, M. Maquart, A. Soulaimane, A. M. Kassim, C. Cetre-Sossah and E. Cardinale. ""Evidence for Circulation of the Rift Valley Fever Virus among Livestock in the Union of Comoros"". Plos Neglected Tropical Diseases 8 (2014): #pages#",Farm,48 host (animal or human),Comoros,Moheli,2011,Ruminants,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),NA,,,,,,,
AHAW VBD,132,"A. Di Nardo, D. Rossi, S. M. L. Saleh, S. M. Lejlifa, S. J. Hamdi, A. Di Gennaro, G. Savini and M. V. Thrusfield. ""Evidence of rift valley fever seroprevalence in the Sahrawi semi-nomadic pastoralist system, Western Sahara"". Bmc Veterinary Research 10 (2014): #pages#",,81 host (animal or human),Western Sahara,Sahrawi (Mijek region),2008,Ruminants,,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
AHAW VBD,132,"A. Di Nardo, D. Rossi, S. M. L. Saleh, S. M. Lejlifa, S. J. Hamdi, A. Di Gennaro, G. Savini and M. V. Thrusfield. ""Evidence of rift valley fever seroprevalence in the Sahrawi semi-nomadic pastoralist system, Western Sahara"". Bmc Veterinary Research 10 (2014): #pages#",,84 host (animal or human),Western Sahara,Sahrawi (Mehaires region),2008,Ruminants,,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,132,"A. Di Nardo, D. Rossi, S. M. L. Saleh, S. M. Lejlifa, S. J. Hamdi, A. Di Gennaro, G. Savini and M. V. Thrusfield. ""Evidence of rift valley fever seroprevalence in the Sahrawi semi-nomadic pastoralist system, Western Sahara"". Bmc Veterinary Research 10 (2014): #pages#",Unknown,85 host (animal or human),Western Sahara,Sahrawi (Dougaj region),2008,Ruminants,,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
AHAW VBD,132,"A. Di Nardo, D. Rossi, S. M. L. Saleh, S. M. Lejlifa, S. J. Hamdi, A. Di Gennaro, G. Savini and M. V. Thrusfield. ""Evidence of rift valley fever seroprevalence in the Sahrawi semi-nomadic pastoralist system, Western Sahara"". Bmc Veterinary Research 10 (2014): #pages#",Unknown,94 host (animal or human),Western Sahara,Sahrawi (Agwanit region),2008,Ruminants,,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
